Random,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,CarrierDelay_mod,WeatherDelay,WeatherDelayMod,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate
0.637099371,2018,1,1,16,2,1/16/2018,DL,DL,19790,DL,1155,,,,,DL,19790,DL,N1605,1155,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2220,2213,-7,0,0,-1,,1800-1859,11,1821,2013,8,2045,2021,-24,0,0,-2,2000-2059,0,,0,141,131,112,1,820,4,,0,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
0.127843767,2018,1,1,21,7,1/21/2018,AA,AA,19805,AA,2664,,,,,AA,19805,AA,N139AN,2664,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,1245,1241,-4,0,0,-1,,1400-1459,19,1432,1554,5,1618,1559,-19,0,0,-2,1600-1659,0,,0,178,166,142,1,1009,5,,0,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
0.895099022,2018,1,1,21,7,1/21/2018,AS,AS,19930,AS,491,,,,,AS,19930,AS,N237AK,491,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,2005,2007,2,2,0,0,,1000-1059,18,1055,1354,5,1422,1359,-23,0,0,-2,1400-1459,0,,0,157,142,119,1,1024,5,,0,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
0.783952501,2018,1,1,5,5,1/5/2018,WN,WN,19393,WN,831,,,,,WN,19393,WN,N426WN,831,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,14831,1483106,32457,SJC,"San Jose, CA",CA,6,California,91,1100,1057,-3,0,0,-1,,2200-2259,8,2236,2318,5,2340,2323,-17,0,0,-2,2300-2359,0,,0,65,55,42,1,224,1,,0,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
0.849984634,2018,1,1,12,5,1/12/2018,DL,DL,19790,DL,1335,,,,,DL,19790,DL,N548US,1335,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,20,20,0,0,0,0,,1700-1759,23,1751,2027,4,2043,2031,-12,0,0,-1,2000-2059,0,,0,313,303,276,1,1956,8,,0,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
0.239547153,2018,1,1,4,4,1/4/2018,WN,WN,19393,WN,409,,,,,WN,19393,WN,N8706W,409,14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91,10693,1069302,30693,BNA,"Nashville, TN",TN,47,Tennessee,54,1525,1521,-4,0,0,-1,,0800-0859,13,850,1113,7,1141,1120,-21,0,0,-2,1100-1159,0,,0,176,163,143,1,1065,5,,0,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
0.928663196,2018,1,1,4,4,1/4/2018,DL,DL,19790,DL,2872,,,,,DL,19790,DL,N3773D,2872,14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,620,618,-2,0,0,-1,,1100-1159,28,1148,1705,6,1717,1711,-6,0,0,-1,1700-1759,0,,0,236,231,197,1,1635,7,,0,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
0.039932807,2018,1,1,17,3,1/17/2018,DL,DL_CODESHARE,19790,DL,5716,,,,,CP,21167,CP,N632CZ,5716,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,14893,1489302,33192,SMF,"Sacramento, CA",CA,6,California,91,2035,2030,-5,0,0,-1,,1200-1259,11,1223,1341,4,1353,1345,-8,0,0,-1,1300-1359,0,,0,158,153,138,1,909,4,,0,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
0.030501823,2018,1,1,1,1,1/1/2018,AA,AA,19805,AA,2513,,,,,AA,19805,AA,N963NN,2513,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,1603,1559,-4,0,0,-1,,1900-1959,16,1929,2010,3,2040,2013,-27,0,0,-2,2000-2059,0,,0,80,60,41,1,200,1,,0,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
0.943153202,2018,1,1,8,1,1/8/2018,VX,VX,21171,VX,1929,,,,,VX,21171,VX,N530VA,1929,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,1355,1406,11,11,0,0,,1800-1859,15,1847,2136,8,2202,2144,-18,0,0,-2,2200-2259,0,,0,387,372,349,1,2454,10,,0,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
